"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"07731","NJ","New York","Monmouth","Howell",2569,1867,0.00107238605898123,0.0119241192411924,0.00484391819160388,185
2017-10-31,"06614","CT","Stamford","Fairfield","Stratford",2570,1695,-0.00528169014084507,-0.0110851808634772,-0.0151074956420686,2962
2017-10-31,"52601","IA","Burlington","Des Moines","Burlington",2571,870,-0.0124858115777526,-0.0169491525423729,0.0583941605839416,800
2017-10-31,"15227","PA","Pittsburgh","Allegheny","Baldwin Township",2572,872,0,-0.00683371298405467,-0.0289532293986637,1368
2017-10-31,"21227","MD","Baltimore","Baltimore","Halethorpe",2573,1631,0.00741198270537369,0.0124146492861577,0.00616903146206046,503
2017-10-31,"61821","IL","Champaign-Urbana","Champaign","Champaign",2574,943,-0.00945378151260504,-0.0217842323651452,-0.012565445026178,1183
2017-10-31,"90063","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","East Los Angeles",2575,2208,0.0072992700729927,0.0128440366972477,0.0697674418604651,3275
2017-10-31,"95662","CA","Sacramento","Sacramento","Orangevale",2576,1438,0.00700280112044818,0.0234875444839858,0.106153846153846,649
2017-10-31,"34608","FL","Tampa","Hernando","Spring Hill",2577,1157,-0.00601374570446736,-0.00258620689655172,0.0158033362598771,366
2017-10-31,"61107","IL","Rockford","Winnebago","Rockford",2578,926,0.00652173913043478,0.00761697497279652,0.0254706533776301,1607
2017-10-31,"92065","CA","San Diego","San Diego","Ramona",2579,2197,0.00457247370827618,0.020910780669145,0.0598166907863001,775
2017-10-31,"85014","AZ","Phoenix","Maricopa","Phoenix",2580,1185,0.00338696020321761,0.0136869118905047,0.0376532399299475,4195
2017-10-31,"20007","DC","Washington","District of Columbia","Washington",2581,3474,-0.00940975192472198,-0.016142735768904,-0.0293378038558256,8063
2017-10-31,"72032","AR","Little Rock","Faulkner","Conway",2582,685,-0.0242165242165242,-0.0692934782608696,-0.0616438356164384,398
2017-10-31,"98604","WA","Portland","Clark","Battle Ground",2583,1274,0.0119142176330421,0.0299110751818917,0.077834179357022,274
2017-10-31,"95116","CA","San Jose","Santa Clara","San Jose",2584,2950,0.005453306066803,0.0151410874053682,0.0513186029935852,2979
2017-10-31,"07109","NJ","New York","Essex","Belleville",2585,1656,0.00181488203266788,0.0140845070422535,-0.0230088495575221,1387
