"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"33141","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1900,1700,1950,1975,1950,1873,1775,1787,1740,1811,1850,1837.5,1850,1862.5,1875
"60608","Chicago","IL","Chicago","Cook",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1275,1295,1372.5,1355,1350,1300,1397.5,1400,1400,1400,1400,1375
"10014","New York","NY","New York","New York",100,,,2825,3000,3000,2850,2850,2997.5,3095,3000,2995,3000,3000,3200,3200,3030,3121.5,3295,3295,3350,3350,3300,3200,3395,3400,3495,3300,3295,3200,3200,3215,3300,3312.5,3395,3400,3495,3495,3500,3515,3550,3595,3525,3500,3500,3500,3495,3500,3500,3500,3500,3472.5,3485,3500,3547.5,3600,3600,3600,3600,3650,3600,3695,3572.5,3600,3600,3650,3645,3570,3650,3597.5,3600,3695,3532.5,3595,3500,3500,3500,3500,3497.5,3550,3695,3750,3795,3750,3650,3560
"90036","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,2400,2395,2500,2400,2525,2625,2597.5,2622.5,2695,2700,2695,2695,2797.5,2795
"33021","Hollywood","FL","Miami-Fort Lauderdale","Broward",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1350,1337.5,1350,1400,1425,1400,1337.5,1375,1400,1400
"33324","Plantation","FL","Miami-Fort Lauderdale","Broward",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1425,1475,1450,1575,1500,1500,1497.5,1500,1500,1500,1500
"06511","New Haven","CT","New Haven","New Haven",104,,,,,,,,,1150,1175,1125,1100,1150,1100,1100,1195,1200,1185,1200,1212.5,1212.5,1200,1200,1150,1100,1050,1100,1025,1100,1200,1250,1300,1200,1250,1250,1200,1200,1195,1195,1095,1050,1100,1112.5,1195,1195,1195,1195,1200,1200,1200,1175,1150,1150,1195,1200,1212.5,1250,1250,1250,1200,1200,1195,1200,1197.5,1200,1200,1250,1200,1195,1250,1275,1150,1200,1195,1200,1200,1295,1375,1400,1350,1295,1250,1250,1195,1150
"11354","New York","NY","New York","Queens",105,,,,,,,,,,,,,,,,1625,1600,1550,1500,1402.5,1425,1485,1430,1500,1500,1550,1572.5,1550,1595,1550,1595,1597.5,1600,1650,1700,1650,1600,1600,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1672.5,1650,1650,1650,1675,1700,1750,1750,1750,1700,1700,1750,1825,1800,1750,1800,1950,1800,1875,1925,1999.5,2200,1950,2200,1950,1937.5,2100,2200,2150,2200,2250,2200,2108
"19104","Philadelphia","PA","Philadelphia","Philadelphia",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,1092.5,1149,1200,1237.5,1067,995,997.5,1072.5,1200,1195,1200,1262.5,1200,1300,1250,1195,1195,1050,1184.5,1225,1260,1172,1225,1200,1172,1262.5,1295,1207.5,1215,1200,1150
"02135","Boston","MA","Boston","Suffolk",107,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,1850,1900,1900,1895,1875,1895,1900,1899.5,1925,1975,1902,1925,1950,1975,1995,2000,2000,1995,1995,1995,1975,1950,1950,1970,2000,2000,2000,2000,2050,2050,2050,2050,2085,2095,2043,2100,2050,2200,2300,2250,2350,2550,2300,2400,2500,2500,2200,2100,2100,2250,2400,2500,2500,2500,2500,2500,2500,2400
