"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,84707,"60921","IL","Pontiac","Livingston","Chatsworth",14879,62500,-0.00950871632329636,0.00806451612903226,0.134301270417423,-0.00254052187968645,-0.000159859357500736,"2011-05","2011-Q2",68800,-0.0915697674418605,"2010-11"
2017-10-31,74806,"38381","TN",,"Hardeman","Toone",14880,49200,-0.00404858299595142,-0.0199203187250996,-0.111913357400722,0.00411536544325197,-0.0174996807806462,"2008-02","2008-Q1",64600,-0.238390092879257,"2004-02"
2017-10-31,78670,"47564","IN","Jasper","Pike","Otwell",14881,84500,0.00356294536817102,0.015625,0.0778061224489796,0.0211614478889244,0.0114595896720511,"2005-06","2005-Q2",97100,-0.129763130792997,"2004-07"
2017-10-31,78847,"47940","IN","Crawfordsville","Montgomery","Darlington",14882,93600,0.0297029702970297,0.0588235294117647,0.114285714285714,0.0216354885125234,0.0105197999168674,"2005-05","2005-Q2",101300,-0.0760118460019743,"2004-03"
2017-10-31,84511,"60460","IL","Pontiac","Livingston","Odell",14883,107900,-0.00185013876040703,-0.0128087831655993,0.0704365079365079,0.0306108106203207,0.00234697345619006,"2005-08","2005-Q3",122200,-0.117021276595745,"2004-10"
2017-10-31,68099,"24326","VA",,"Grayson","Elk Creek",14884,125800,-0.0125588697017268,-0.0217729393468118,0.0405293631100083,0.0346490216908588,-0.0197678500282619,"2009-02","2009-Q1",165900,-0.241711874623267,"2006-01"
2017-10-31,97877,"94937","CA","San Francisco","Marin","Inverness",14885,1027400,0.0075512405609493,-0.0155231889612878,-0.0253296651171616,0.122738192906915,0.0319442848345175,"2017-02","2017-Q1",1147300,-0.104506232023011,"2016-10"
2017-10-31,60098,"06031","CT","Torrington","Litchfield","Canaan",14886,249900,0,-0.0149783208513993,-0.0822622107969152,-0.0152072058287589,-0.032571892365216,"2007-05","2007-Q2",359800,-0.305447470817121,"2003-05"
2017-10-31,78456,"47137","IN",,"Crawford","Leavenworth",14887,70900,0.00282885431400283,0,0.0645645645645646,0.0172156876833947,0.00903707300238943,"2005-11","2005-Q4",85400,-0.169789227166276,"2004-02"
2017-10-31,81114,"52768","IA","Davenport","Scott","Princeton",14888,212700,0.0128571428571429,0.0320232896652111,0.11594963273872,0.0557068220520005,0.0313561105787279,"2017-10","2017-Q4",212700,0,"2017-10"
