"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"35228","AL","Birmingham","Jefferson","Midfield",8438,743,-0.00134408602150538,-0.00668449197860963,-0.00402144772117962,4317
2017-10-31,"80621","CO","Greeley","Weld","Fort Lupton",8439,1565,0.00837628865979381,0.0482250502344273,0.0624575695858792,3308
2017-10-31,"91108","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","San Marino",8440,8188,-0.00522415259385251,-0.0189312245387012,-0.00292255236239649,4566
2017-10-31,"23664","VA","Virginia Beach","Hampton City","Hampton",8441,1306,0.000766283524904215,-0.000765110941086458,0.00927357032457496,4138
2017-10-31,"02921","RI","Providence","Providence","Cranston",8442,2122,-0.0248161764705882,-0.0577264653641208,0.0226506024096386,3947
2017-10-31,"06268","CT","Hartford","Tolland","Town of Mansfield",8443,1908,0.0111287758346582,0.00632911392405063,0.0671140939597315,2111
2017-10-31,"43103","OH","Columbus","Pickaway","Ashville",8444,1359,0.000736377025036819,0.00592153960029608,0.00965824665676077,2805
2017-10-31,"29702","SC","Gaffney","Cherokee","Blacksburg",8445,1006,-0.00494559841740851,-0.0185365853658537,0.0934782608695652,3111
2017-10-31,"76645","TX",,"Hill","Hillsboro",8446,1088,0.000919963201471941,0.00927643784786642,0.0139794967381174,2723
2017-10-31,"97862","OR","Hermiston-Pendleton","Umatilla","Milton Freewater",8447,1189,0.000841750841750842,-0.00585284280936455,0.0760180995475113,2946
2017-10-31,"93465","CA","San Luis Obispo","San Luis Obispo","Templeton",8448,2541,-0.00470035252643948,0.00554016620498615,0.0346091205211726,2808
2017-10-31,"02330","MA","Boston","Plymouth","Carver",8449,1952,-0.00102354145342886,-0.0106436898124683,-0.00963977676306443,3190
2017-10-31,"28377","NC","Lumberton","Robeson","Red Springs",8450,749,0.00943396226415094,0.0107962213225371,0.0107962213225371,1441
2017-10-31,"88081","NM","Las Cruces","Dona Ana","Chaparral",8451,875,0,0.00344036697247706,0.045400238948626,1234
2017-10-31,"14605","NY","Rochester","Monroe","Rochester",8452,842,0.00118906064209275,-0.00707547169811321,0.00118906064209275,1454
