"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18102","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3272,67,11.1627906976744,85.5,0.540540540540541,8.88734353268428
"Zip","18042","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3542,67,23.7373737373737,88,7.2972972972973,8.88734353268428
"Zip","18017","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3554,67,26.9461077844311,75,4.86486486486486,8.88734353268428
"Zip","18018","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4194,67,19.1489361702128,71,0.27027027027027,8.88734353268428
"Zip","08865","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5206,67,21.1111111111111,138.5,9.18918918918919,8.88734353268428
"Zip","07840","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5221,67,13.7440758293839,108,3.51351351351351,8.88734353268428
"Zip","18015","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5478,67,25.609756097561,84,7.83783783783784,8.88734353268428
"Zip","18052","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5598,67,15.8333333333333,82,1.35135135135135,8.88734353268428
"Zip","18045","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5910,67,23.4567901234568,79,4.32432432432432,8.88734353268428
"Zip","18062","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6774,67,21.6981132075472,77,2.16216216216216,8.88734353268428
"Zip","18064","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6824,67,27.1317829457364,78,7.56756756756757,8.88734353268428
"Zip","18067","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7736,67,21.6981132075472,88,5.40540540540541,8.88734353268428
"Zip","18235","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7858,67,15.8940397350993,107,4.59459459459459,8.88734353268428
"Zip","18049","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7967,67,19.4805194805195,76,1.08108108108108,8.88734353268428
"Zip","18020","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8010,67,25,79.5,6.48648648648649,8.88734353268428
"Zip","18109","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8214,67,15.625,91,2.43243243243243,8.88734353268428
"Zip","18013","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8332,67,29.4642857142857,105,10,8.88734353268428
"Zip","18040","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8868,67,21.7948717948718,90,7.02702702702703,8.88734353268428
"Zip","07882","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",9046,67,14.5985401459854,134,5.13513513513514,8.88734353268428
"Zip","18036","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9454,67,17.1052631578947,84,1.62162162162162,8.88734353268428
"Zip","18055","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9558,67,16.8539325842697,90,2.97297297297297,8.88734353268428
"Zip","18014","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9705,67,31.7073170731707,76,5.94594594594595,8.88734353268428
"Zip","18080","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9724,67,26.3736263736264,93,9.45945945945946,8.88734353268428
"Zip","18071","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9850,67,21.8181818181818,91.5,8.10810810810811,8.88734353268428
"Zip","18229","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10139,67,20.7920792079208,123,8.37837837837838,8.88734353268428
"Zip","18031","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10168,67,24.1379310344828,68,1.89189189189189,8.88734353268428
"Zip","18032","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10241,67,25.7142857142857,77.5,5.67567567567568,8.88734353268428
"Zip","18088","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10399,67,16.9491525423729,88.5,2.7027027027027,8.88734353268428
"Zip","18210","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10429,67,17.4887892376682,119,6.75675675675676,8.88734353268428
"Zip","07825","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10482,67,18.1034482758621,189,8.64864864864865,8.88734353268428
"Zip","07823","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10535,67,10.5263157894737,126,3.78378378378378,8.88734353268428
"Zip","18034","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10773,67,20.6896551724138,89.5,4.05405405405405,8.88734353268428
"Zip","18072","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10859,67,21.1538461538462,119,8.91891891891892,8.88734353268428
"Zip","08886","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10964,67,15.3846153846154,103.5,3.24324324324324,8.88734353268428
"Zip","07863","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",11203,67,22.7272727272727,151,9.72972972972973,8.88734353268428
"Zip","79109","TX","""Amarillo, TX""",2424,180,23.3333333333333,82,3.63636363636364,9.02642559109875
"Zip","79106","TX","""Amarillo, TX""",5209,180,29.4573643410853,73,8.18181818181818,9.02642559109875
"Zip","79107","TX","""Amarillo, TX""",6049,180,18.6046511627907,87.5,2.72727272727273,9.02642559109875
"Zip","79118","TX","""Amarillo, TX""",7278,180,16.1458333333333,91,5.45454545454545,9.02642559109875
"Zip","79015","TX","""Amarillo, TX""",7425,180,21.2389380530973,89,7.27272727272727,9.02642559109875
"Zip","79110","TX","""Amarillo, TX""",8222,180,25.5102040816327,66.5,1.81818181818182,9.02642559109875
"Zip","79119","TX","""Amarillo, TX""",8470,180,23.3463035019455,90,10,9.02642559109875
"Zip","79108","TX","""Amarillo, TX""",9725,180,12.8205128205128,71,0.909090909090909,9.02642559109875
"Zip","79102","TX","""Amarillo, TX""",10113,180,17.3913043478261,135,9.09090909090909,9.02642559109875
"Zip","79124","TX","""Amarillo, TX""",10247,180,15.1515151515152,92,4.54545454545455,9.02642559109875
"Zip","79121","TX","""Amarillo, TX""",10838,180,31.0344827586207,69,6.36363636363636,9.02642559109875
"Zip","99504","AK","""Anchorage, AK""",3798,132,24.9211356466877,87,10,8.31710709318498
"Zip","99507","AK","""Anchorage, AK""",4298,132,23.859649122807,74,5.38461538461539,8.31710709318498
"Zip","99508","AK","""Anchorage, AK""",4978,132,23.3160621761658,78,7.69230769230769,8.31710709318498
