"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"77433","Cypress","TX","Houston","Harris",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1850,1975,1995,1875,1850,1875,1900,1900,1850,1900,1862.5,1900,1925
"77379","Tomball","TX","Houston","Harris",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1897.5,1850,1897.5,1810,1895,1750,1750,1787.5,1800,1787.5,1800,1770,1750,1750,1837.5,1895,1995,1879,1800,1859,1859,1895,1925,1925,1959,1954,1954.5,1950,1997,1862.5,1892.5,1800,1795,1950,1895,1895,1897.5,1800,1995,1727.5,1750,1675,1699,1800,1795,1795,1899.5,1875,1800,1850,1897.5,1890,1800
"11221","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3050,3100,3195,3100,3100,3100,3172.5,3100,3149,3200,3185,3199,3100,3000,3100,3200,3200,3200,3200,3272.5,3350,3399,3400,3425,3348,3300,3266,3200,3290,3295,3400,3400,3400,3400,3400,3400,3492.5,3224.5,3312.5,3399.5,3200,3300,3400,3399,3399,3490,3396.5,3300
"30024","Suwanee","GA","Atlanta","Gwinnett",14,,,,,,,,,,,1600,1595,1600,1600,1500,1572.5,1600,1625,1650,1600,1600,1600,1600,1597.5,1550,1650,1600,1650,1650,1650,1650,1600,1625,1650,1697.5,1750,1747.5,1700,1725,1700,1695,1700,1687.5,1799,1800,1799.5,1762.5,1700,1700,1774.5,1800,1795,1795,1800,1800,1735.5,1700,1799.5,1797,1882.5,1850,1799,1760,1800,1800,1799.5,1787,1800,1799,1750,1900,1800,1800,1850,1825,1884,1900,1900,1925,1900,1900,1850
"11385","New York","NY","New York","Queens",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3400,3500,3500,3500,3567.5,3495,3400,3400,3500,3599,3450,3499,3100,3349.5,3300,3200,3400,3400,3400,3500,3500,3399
"91709","Chino Hills","CA","Riverside","San Bernardino",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2700,2600,2695,2700,2650,2600,2795,2800,2800,2800,2825,2795
"33647","Tampa","FL","Tampa","Hillsborough",17,,1850,1750,1885,2000,1975,1875,1800,1800,1772.5,1700,1750,1750,1850,1895,1897.5,1872.5,1897.5,1895,1895,1900,1800,1800,1800,1775,1800,1850,1900,1950,2000,2100,2000,1995,1990,2000,1997.5,1895,1850,1850,1850,1900,1910,1900,1895,1895,1850,1850,1905,1895,1895,1900,1917.5,1950,2000,1985,1950,1950,1925,1900,1850,1905,1905,1910,1950,1995,1997.5,1995,1985,2000,1910,1950,1962.5,1995,2000,1867,2025,2065,2085,2000,1995,2000,1995
"76244","Fort Worth","TX","Dallas-Fort Worth","Tarrant",18,,,,,,,1495,1650,1662.5,1595,1694.5,1600,1600,1650,1650,1650,1600,1500,1600,1612.5,1595,1650,1600,1562.5,1562.5,1650,1612.5,1625,1637.5,1650,1628,1620,1650,1710,1695,1695,1695,1695,1675,1675,1700,1750,1700,1695,1675,1675,1725,1695,1600,1650,1725,1700,1785,1742.5,1712.5,1742.5,1795,1745,1795,1859,1795,1750,1750,1795,1745,1795,1800,1750,1725,1800,1750,2045,1862.5,1850,1850,1850,1895,1895,1895,1897.5,1850,1800
"77095","Houston","TX","Houston","Harris",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.5,1729,1700,1700,1700,1749.5,1750,1750,1825,1809,1799.5,1800,1800,1800,1800,1750,1800,1787.5,1795,1795,1799.5,1837.5,1800,1795,1797,1800,1800,1825,1825,1775,1785,1795,1750,1837,1790,1775,1625,1700,1737.5,1771.5,1775,1837.5,1800,1785,1760,1770,1800
"77450","Cinco Ranch","TX","Houston","Fort Bend",20,,,,,,,,,,,,,,,,2325,2350,2300,2425,2100,2100,1850,1895,2100,2300,2100,1947.5,2200,2200,2200,2300,2275,2300,2200,2400,2350,2025,2099.5,2000,2000,2200,2300,2250,2272.5,2200,2100,2100,1950,1995,1995,2100,2225,2250,2300,2300,2200,2200,2150,2187.5,2100,2095,2050,2200,2200,2450,2300,2100,1972.5,1995,1897.5,1900,1900,1900,1925,1950,1950,2000,2000,2074.5,2099.5,2100,2150
"77845","College Station","TX","College Station","Brazos",21,,,,,,,,,,,,,,1545,1600,1600,1600,1595,1550,1495,1400,1400,1495,1497.5,1495,1650,1600,1600,1600,1595,1597.5,1500,1500,1525,1600,1592.5,1590,1600,1650,1625,1600,1625,1600,1650,1600,1795,1650,1672.5,1697.5,1700,1695,1700,1750,1800,1850,1800,1685,1650,1740,1900,2000,1900,1875,1747.5,1800,2000,1800,1600,1695,1835,1975,1800,1800,1900,1800,1800,1750,1700,1700,1600,1695,1800
"79938","El Paso","TX","El Paso","El Paso",22,,,,,,,,,,,,,,,,1370,1390,1350,1350,1295,1295,1350,1340,1312.5,1295,1237.5,1275,1275,1250,1250,1250,1250,1250,1250,1295,1295,1250,1200,1200,1200,1250,1250,1295,1250,1245,1250,1247.5,1250,1225,1200,1250,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1250,1250,1250,1225,1200,1250,1175,1200,1275,1250,1285,1200,1250,1250,1250,1250,1250,1295,1250,1250,1200
"89117","Las Vegas","NV","Las Vegas","Clark",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1700,1725,1650,1500,1500,1600,1600,1600,1612.5,1665,1699,1662.5,1599.5,1825,1597.5,1650,1600,1650,1650,1700,1700,1700,1795,1845,1900,1950,1775,1895
"92592","Temecula","CA","Riverside","Riverside",24,,,2100,2100,2099.5,2000,1997.5,1975,1950,2072.5,1899.5,1972.5,2100,1950,1967.5,1925,1995,1995,1995,2025,1995,2100,2050,2050,1999.5,1950,1950,1999.5,2050,2050,2000,2100,2000,2000,2000,2095,2095,2095,2000,2025,2099.5,2095,2100,2100,2097,2099.5,1995,2095,2095,2050,2050,2100,2100,2095,2050,2100,2150,2100,2097.5,2150,2154.5,2196,2195,2150,2200,2199,2195,2100,2195,2197,2125,2137.5,2300,2300,2400,2300,2375,2395,2350,2350,2400,2400
"33186","The Crossings","FL","Miami-Fort Lauderdale","Miami-Dade",25,,2072.5,2095,2100,2200,2200,2200,2150,2150,2150,2125,2200,2197.5,2050,2095,2047.5,2100,2100,2100,2100,2250,2200,2200,2300,2300,2200,2250,2100,2200,2350,2400,2300,2300,2300,2300,2200,2270,2250,2300,2300,2300,2300,2300,2250,2300,2350,2325,2300,2300,2300,2300,2300,2250,2250,2397.5,2225,2350,2372.5,2332.5,2400,2400,2400,2400,2400,2450,2550,2400,2425,2425,2500,2500,2500,2400,2450,2350,2400,2400,2500,2500,2500,2497.5,2450
"30022","Johns Creek","GA","Atlanta","Fulton",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2350,2350,2300,2200,2225,2200,2200,2200,2200,2200,2100,2175
"02155","Medford","MA","Boston","Middlesex",27,,,,,,,,,,,,,,,,,,,,,,,,2750,2700,2800,2800,2800,2800,2600,2600,2600,2500,2550,2500,2400,2500,2300,2600,2700,2800,2800,2800,2700,2700,2700,2650,2500,2600,2750,2750,2800,2900,3000,2875,2800,2800,2800,2800,2700,3000,3000,2950,3000,3100,3200,3000,2800,2600,2800,2750,2700,2800,2800,2950,3000,3100,3200,3200,3000,3000,3200
"75035","Frisco","TX","Dallas-Fort Worth","Collin",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1895,1990,1950,1995,1900,1900,1897.5,1875,1872.5,1900,1937.5,1850,1850,1850,1850,1875,1895,1850,1895,1972.5,1997.5,1997.5,1950,1990,1950,1995,2000,1975,2000,2050,2095,2000,2097.5,2100,2025,2000,2025,2000,2000,1997.5,2097.5,2047.5,2000,1997.5,2095,2100,2022.5,2100,2195,2125,2195,2125
"32828","Orlando","FL","Orlando","Orange",29,,,,,,,1600,1595,1575,1400,1425,1550,1500,1525,1572.5,1550,1500,1550,1550,1500,1500,1550,1550,1500,1550,1595,1595,1585,1595,1550,1595,1675,1595,1595,1595,1595,1595,1595,1595,1595,1637.5,1650,1595,1625,1600,1595,1562.5,1562.5,1595,1600,1637.5,1695,1700,1685,1700,1700,1600,1600,1625,1699.5,1695,1680,1650,1625,1600,1685,1725,1725,1695,1600,1700,1650,1797.5,1812.5,1725,1845,1800,1800,1877.5,1849.5,1812.5,1895
"89031","North Las Vegas","NV","Las Vegas","Clark",30,,,,,1225,1250,1250,1250,1250,1200,1200,1200,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1195,1199.5,1200,1195,1200,1225,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1300,1297.5,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1337.5,1374.5,1350,1320,1299.5,1337.5,1300,1325,1350,1375,1300,1400,1400,1400,1395,1400
"94513","Brentwood","CA","San Francisco","Contra Costa",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2400,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2400,2550,2695,2625,2600,2600,2695,2650
"77346","Atascocita","TX","Houston","Harris",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1785,1700,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1824.5,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799.5,1792,1795,1795,1800,1785,1795,1750,1750
"89074","Henderson","NV","Las Vegas","Clark",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1510,1650,1587.5,1724.5,1750,1750,1725,1700,1750,1795,1799,1600,1600
"02135","Boston","MA","Boston","Suffolk",34,2600,2600,2600,2600,2550,2500,2500,2500,2550,2600,2700,2725,2700,2650,2650,2700,2800,2700,2700,2675,2800,2800,2800,2800,2800,2900,2950,2950,3000,3100,3000,3000,3000,2950,2950,2950,2997,3000,3000,3145,3150,3100,3100,3100,3200,3100,3200,3200,3200,3100,3137.5,3200,3200,3100,3100,3100,3050,3000,3050,3100,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
"89147","Las Vegas","NV","Las Vegas","Clark",35,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1300,1300,1325,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1600,1530,1395,1450,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550
"92563","Murrieta","CA","Riverside","Riverside",36,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1897.5,1900,1900,1900,1900,1850,1850,1850,1850,1895,1895,1900,1895,1895,1895,1900,1900,1900,1900,1900,1900,1900,1895,1899,1895,1875,1895,1962.5,1925,1900,1950,1995,1975,1945,1937.5,1950,1950,1928,1998,2000,2000,2072.5,1999,1995,1995,2097.5,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195,2091,2095,2095,2096,2195,2195,2200,2200,2150,2200,2295,2275,2272.5
"89148","Las Vegas","NV","Las Vegas","Clark",37,,,,,,,,,,,,,1545,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1497.5,1500,1475,1475,1450,1472.5,1450,1395,1400,1397.5,1450,1450,1450,1500,1522.5,1472.5,1500,1500,1450,1450,1450,1495,1450,1472.5,1512,1450,1400,1500,1585,1495,1495,1535,1500,1595,1595,1550,1497.5,1550,1550,1500,1450,1497,1495,1572.5,1525,1575,1640,1625,1650,1650,1600,1650,1695,1650,1650
"28546","Jacksonville","NC","Jacksonville","Onslow",38,,,1250,1250,1200,1250,1257,1300,1300,1300,1250,1250,1195,1195,1150,1200,1250,1250,1250,1200,1242,1212.5,1199,1150,1150,1160,1175,1185,1250,1200,1200,1195,1175,1195,1112.5,1100,1100,1095,1085,1100,1200,1200,1200,1200,1197.5,1150,1100,1100,1100,1100,1100,1150,1195,1175,1150,1100,1100,1100,1100,1100,1150,1100,1112.5,1200,1200,1150,1150,1212.5,1100,1200,1100,1050,1100,1147.5,1150,1175,1200,1250,1200,1150,1100,1100
"92880","Eastvale","CA","Riverside","Riverside",39,,,,,,,,,,,,,2300,2300,2300,2350,2300,2300,2300,2300,2300,2295,2300,2300,2300,2300,2300,2300,2285,2265,2300,2300,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2300,2345,2300,2300,2300,2300,2300,2375,2325,2400,2400,2400,2400,2400,2400,2400,2400,2400,2437.5,2425,2400,2450,2500,2500,2300,2452.5,2500,2450,2497,2550,2550,2600,2568.5,2550,2550,2572.5,2550,2550
"75025","Plano","TX","Dallas-Fort Worth","Collin",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1970,1900,1900,1950,1950,1995,2022.5,1995,1950,1950,1950,1972.5,1995,2095,2097.5,1995,1995,1999,1995,1950,1995,2000,2095,2000,2100,2150,2200,2100,2147.5,2100,2072,1999.5,2072.5,2000,2000,2100,2100,2150,2200,2146,1995,2100,1995,2075,2150,2100,2195,2250,2200,2197.5,2150,2150,2100
"78253","San Antonio","TX","San Antonio","Bexar",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1615,1689,1697.5,1695,1697.5,1787.5,1797.5,1800,1800,1750,1692
"78258","San Antonio","TX","San Antonio","Bexar",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2000,2097.5,2272,2283.5,2265,2265,2255,2325,2265,2395,2250,2089
"75068","Little Elm","TX","Dallas-Fort Worth","Denton",43,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1600,1650,1650,1600,1625,1600,1597.5,1597.5,1600,1597.5,1600,1650,1697.5,1650,1650,1695,1695,1700,1750,1795,1700,1737.5,1697.5,1750,1795,1797.5,1850,1850,1800,1785,1800,1895,1837.5,1850,1850,2000,1795,1772.5,1897.5,1850,1950,1800,1795,1795,1862.5,1800,1950,1995,1900,1950,1900,1900,1895
"33033","Homestead","FL","Miami-Fort Lauderdale","Miami-Dade",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1600,1699.5,1800,1800,1800,1775,1800,1800,1800,1775,1825,1850
"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",45,2500,2500,2500,2562.5,2500,2650,2600,2600,2500,2500,2575,2575,2672.5,2650,2650,2700,2700,2700,2800,2600,2595,2600,2650,2700,2600,2600,2600,2700,2800,2750,2725,2700,2650,2675,2650,2650,2650,2650,2600,2590,2699,2750,2800,2800,2750,2750,2700,2700,2700,2800,2800,2800,2900,3000,2850,2899.5,2950,3000,2900,2900,2900,2900,2950,2950,3000,2850,2850,2874.5,2950,2900,2900,2750,2800,2874.5,2900,2900,2800,2900,2970,2900,2900,2900
"75024","Plano","TX","Dallas-Fort Worth","Collin",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.5,2695,2295,2450,2295,2295,2345,2400,2300,2422.5,2400,2200
"77407","Richmond","TX","Houston","Fort Bend",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1900,2000,2095,2100,2150,1950,1900,1972.5,2100,2197.5,1932.5,1825,1895,1925,1895,1872.5,1850,1850,1850,1890,1900,1975,1850,1850,1950,1800,1990,1899,1900,1925,1950,1849,1825,1950,1950,1950,1950,1950,1897,1897.5,1962.5,1962.5,1999
"19121","Philadelphia","PA","Philadelphia","Philadelphia",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2100,2050,2000,2200,2300,2300,2200,2200,2200,2200,2200,2200,2200,2100,2000,2050,2200,2250,2400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2400
"34746","Kissimmee","FL","Orlando","Osceola",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1400,1395,1395,1395,1400,1495,1460,1450,1450,1450,1495,1450,1450,1500,1495,1500,1500,1525,1512.5,1550,1495,1500,1600,1550,1500,1525,1500,1595,1500,1595,1650,1597.5,1525,1550,1600,1600,1550
"34786","Windermere","FL","Orlando","Orange",50,,,,,,,,,,,,,,1925,2200,2100,2100,2150,2225,2050,2200,2212.5,2000,2212.5,2000,1975,1950,1995,2200,2295,2295,2272.5,2295,2200,2195,2100,2100,2100,2100,2100,2062.5,1900,2000,2000,2000,2050,1995,1995,2062.5,2095,2097.5,2200,2150,2275,2150,2350,2300,2250,2150,2100,2150,2200,2300,2350,2337.5,2425,2200,2249,2422.5,2232.5,2297.5,2312.5,2322.5,2397.5,2250,2500,2500,2424.5,2602.5,2525,2475,2450
"33196","The Hammocks","FL","Miami-Fort Lauderdale","Miami-Dade",51,,,,2025,2150,2150,2150,2292.5,2300,2250,2200,2100,2200,2200,2200,2175,2175,2100,2270,2300,2200,2185,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2289,2289,2299,2252.5,2268,2297,2299,2250,2295,2250,2272.5,2310,2300,2300,2300,2325,2300,2202.5,2262.5,2312.5,2272.5,2300,2300,2290,2292.5,2300,2400,2350,2300,2300,2300,2250,2450,2350,2500,2337.5,2450,2395,2265,2225,2250,2300,2292,2400,2450,2437.5,2450,2475,2472.5,2497.5
"30519","Buford","GA","Atlanta","Gwinnett",52,,,,,,,,,,,,,,,,1295,1300,1350,1350,1300,1295,1372.5,1362.5,1350,1395,1395,1395,1395,1317.5,1372.5,1375,1397.5,1400,1400,1400,1400,1400,1400,1400,1400,1437.5,1400,1400,1425,1400,1450,1450,1462.5,1450,1450,1500,1500,1525,1500,1500,1495,1495,1480,1500,1547,1500,1500,1547.5,1540,1500,1500,1525,1500,1500,1507.5,1500,1460,1500,1550,1595,1600,1600,1648,1640.5,1670,1645,1650
"30813","Grovetown","GA","Augusta","Columbia",53,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.5,1300,1295,1275,1275,1237.5,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1295,1295,1295,1295,1250,1250,1295,1350,1350,1295,1295,1300,1300,1350,1300,1295,1295,1300,1300,1300,1350,1395,1395,1395,1350,1362.5,1250,1297.5,1275,1300,1325,1350,1400,1400,1400,1350,1350,1395,1400,1395
"02130","Boston","MA","Boston","Suffolk",54,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3200,3100,3200,3200,3000,3000,3200,3200,3087.5,3000,3000,3000,3097.5,3100,3000,3000,3000,3150,3150,3325,3300,3400,3400,3400,3400,3200,3200,3000,3000,3000,3200,3300,3495,3400,3400,3400,3400,3400,3400,3400,3100,3200,2975,3400,3475,3475,3600,3600,3650,3600,3495,3495,3495
"32824","Orlando","FL","Orlando","Orange",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1575,1650,1695,1627,1600,1625,1695,1695,1724.5,1700,1720.5
"02139","Cambridge","MA","Boston","Middlesex",56,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,4000,3750,3800,3900,3825,3987.5,3975,3937.5,3850,3950,3950,3925,3925,3850,4000,4000,3850,3800,3550,3599,3800,3925,4000,4000,4000,4000,3887.5,3800,3599,3275,3250,3450,3500,3925,4000,4200,4400,4200,4200,4200,4100,3750,3800,3800,4000,4100,4200,4250,4400,4400,4300,4200,4200,4200
"33032","Princeton","FL","Miami-Fort Lauderdale","Miami-Dade",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1995,2100,1875,1800,1800,1855,2000,2000,1999,1950,1950,1962.5,1950,1950,1950
