"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","10566","Peekskill","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,0.0446713465220166,0,,,268000,-0.371747211895911,-2.75761973875181,0.0146641791044777,,0.159120310478655,0.130081300813008,137
"Zip","10567","Cortlandt Manor","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,1.88470538183365,100,,,371100,1.17230098146129,5.21689821377942,0.016615467528968,,0.103448275862069,0.112068965517241,119
"Zip","10570","Pleasantville","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.88123094377083,100,,,642700,0.752469039034331,2.66773162939297,0.0130994243037186,,0.0372881355932203,0.0454545454545455,123
"Zip","10573","Port Chester","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.85754803942424,,,,560900,0.160714285714286,7.43152652748516,0.0249830629345695,,0.079502246802627,0.0869565217391304,120.5
"Zip","10576","Pound Ridge","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,0.510529674537332,,,,786700,0,-1.29234629861982,-0.0120871996949282,,0.0737527114967462,0.0735294117647059,123
"Zip","10577","Rye Brook","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,1.20754449407927,,,,1543500,0.266337534104196,-8.96490710704807,-0.0268895367670878,,0.046875,0.0666666666666667,123
"Zip","10579","Putnam Valley","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,0.600581436573779,42.86,,,364000,0.386100386100386,5.0201961915753,0.0192719780219781,,0.0895225464190981,0.0962962962962963,123
"Zip","10580","Rye","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.21725873927533,83.33,,,1690500,0.385985748218527,-0.0886524822695035,-0.0142460810411121,,0.0319204604918891,0.0819672131147541,125
"Zip","10583","Scarsdale","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.0154577040346,80,,,1031600,0.771710462049429,-1.97643481565945,0.00378925940286923,,0.0405850844664195,0.0304568527918782,124
"Zip","10588","Yorktown","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.51861306105084,100,,,339200,1.3142174432497,3.63580812710052,0.0206544811320755,,0.0951008645533141,0.0606060606060606,105
"Zip","10589","Somers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.39948947032546,50,,,429500,0.940070505287897,5.47642436149312,0.0200372526193249,,0.0497168030207678,0.0759493670886076,115
"Zip","10591","Sleepy Hollow","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.82918527972772,100,,,561200,-0.0712250712250712,-1.76789777699983,0.0285210263720599,,0.084491384102279,0.0328947368421053,123
"Zip","10594","Thornwood","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,3.53045451322414,,,,619000,0.389231268245216,5.07553895773213,0.0119240710823909,,0.0267983074753173,0.105263157894737,123
